"Country"	"Year"	"Campaigns"	"Help"	"Warn"	"Bans"	"Protect"	"Monitor"	"Taxes"
"167"	"Latvia"	"2018"	2	4	5	4	4	4	5
"168"	"Latvia"	"2020"	5	4	5	4	4	4	5
"169"	"Lithuania"	"2007"	2	4	3	4	3	3	4
"170"	"Lithuania"	"2008"	2	4	3	4	3	4	4
"171"	"Lithuania"	"2010"	2	4	3	4	3	4	5
"172"	"Lithuania"	"2012"	2	4	3	4	3	4	5
"173"	"Lithuania"	"2014"	2	4	3	4	3	4	5
"174"	"Lithuania"	"2016"	2	4	5	4	3	4	5
"175"	"Lithuania"	"2018"	2	4	5	4	3	4	4
"176"	"Lithuania"	"2020"	2	4	5	4	3	4	4
"177"	"Luxembourg"	"2007"	5	2	3	4	2	3	4
"178"	"Luxembourg"	"2008"	5	2	3	4	2	3	4
"179"	"Luxembourg"	"2010"	5	4	3	4	2	4	4
"180"	"Luxembourg"	"2012"	5	4	3	4	2	4	4
"181"	"Luxembourg"	"2014"	5	4	3	4	2	4	4
"182"	"Luxembourg"	"2016"	4	5	3	4	2	4	4
"183"	"Luxembourg"	"2018"	5	5	5	4	3	4	4
"184"	"Luxembourg"	"2020"	2	5	5	4	3	4	4
"185"	"Mexico"	"2007"	2	4	2	2	2	2	4
"186"	"Mexico"	"2008"	2	4	4	2	2	2	4
"187"	"Mexico"	"2010"	2	4	5	2	2	2	4
"188"	"Mexico"	"2012"	2	4	5	2	2	3	4
"189"	"Mexico"	"2014"	4	5	5	2	2	3	4
"190"	"Mexico"	"2016"	3	5	5	2	2	3	4
"191"	"Mexico"	"2018"	2	5	5	2	2	2	4
"192"	"Mexico"	"2020"	4	5	5	2	2	2	4
"193"	"Netherlands"	"2007"	5	3	3	4	2	4	4
"194"	"Netherlands"	"2008"	5	3	3	4	2	4	4
"195"	"Netherlands"	"2010"	5	4	3	4	2	4	4
"196"	"Netherlands"	"2012"	2	4	3	4	2	4	4
"197"	"Netherlands"	"2014"	5	5	3	4	2	4	4
"198"	"Netherlands"	"2016"	5	5	5	4	2	4	4
"199"	"Netherlands"	"2018"	4	5	5	4	2	4	4
"200"	"Netherlands"	"2020"	2	5	5	4	2	4	5
"201"	"New Zealand"	"2007"	4	5	5	4	5	4	4
"202"	"New Zealand"	"2008"	4	5	5	4	5	4	4
"203"	"New Zealand"	"2010"	4	5	5	4	5	4	5
"204"	"New Zealand"	"2012"	5	5	5	4	5	4	4
"205"	"New Zealand"	"2014"	4	5	5	4	5	4	5
"206"	"New Zealand"	"2016"	5	5	5	4	5	4	4
"207"	"New Zealand"	"2018"	5	5	5	4	5	4	5
"208"	"New Zealand"	"2020"	5	5	5	4	5	4	5
"209"	"Norway"	"2007"	2	4	3	4	3	4	4
"210"	"Norway"	"2008"	2	4	3	4	3	4	4
"211"	"Norway"	"2010"	2	4	4	4	3	4	4
"212"	"Norway"	"2012"	5	4	4	4	3	4	4
"213"	"Norway"	"2014"	5	4	4	4	5	4	4
"214"	"Norway"	"2016"	5	4	4	4	5	4	4
"215"	"Norway"	"2018"	5	4	4	4	5	4	4
"216"	"Norway"	"2020"	5	4	4	4	5	4	4
"217"	"Poland"	"2007"	5	4	3	4	2	4	5
"218"	"Poland"	"2008"	5	4	3	4	2	4	5
"219"	"Poland"	"2010"	5	4	3	4	3	4	5
"220"	"Poland"	"2012"	4	4	3	4	3	4	5
"221"	"Poland"	"2014"	2	4	3	4	3	4	5
"222"	"Poland"	"2016"	4	4	5	4	3	4	5
"223"	"Poland"	"2018"	2	4	5	4	3	4	5
"224"	"Poland"	"2020"	3	4	5	4	3	4	5
"225"	"Portugal"	"2007"	2	4	3	4	3	4	5
"226"	"Portugal"	"2008"	2	4	3	4	3	4	5
"227"	"Portugal"	"2010"	2	4	3	4	3	4	5
"228"	"Portugal"	"2012"	2	4	3	4	3	4	5
"229"	"Portugal"	"2014"	5	4	3	4	3	4	4
"230"	"Portugal"	"2016"	5	4	5	4	4	4	4
"231"	"Portugal"	"2018"	3	4	5	4	4	4	4
"232"	"Portugal"	"2020"	2	4	5	4	4	4	5
"233"	"Korea"	"2007"	5	5	3	2	2	4	4
"234"	"Korea"	"2008"	5	5	3	2	2	4	4
"235"	"Korea"	"2010"	5	5	3	2	2	4	4
"236"	"Korea"	"2012"	5	5	3	2	2	4	4
"237"	"Korea"	"2014"	5	5	3	2	2	4	4
"238"	"Korea"	"2016"	5	5	4	2	2	4	4
"239"	"Korea"	"2018"	5	5	4	2	2	4	4
"240"	"Korea"	"2020"	5	5	4	2	2	4	4
"241"	"Slovak Republic"	"2007"	2	3	3	4	3	3	5
"242"	"Slovak Republic"	"2008"	2	3	3	4	3	4	5
"243"	"Slovak Republic"	"2010"	2	4	3	4	3	4	5
"244"	"Slovak Republic"	"2012"	2	4	3	4	3	4	5
"245"	"Slovak Republic"	"2014"	2	4	3	4	3	4	5
"246"	"Slovak Republic"	"2016"	2	4	5	4	3	4	5
"247"	"Slovak Republic"	"2018"	2	5	5	4	3	4	5
"248"	"Slovak Republic"	"2020"	2	5	5	4	3	4	5
"249"	"Slovenia"	"2007"	2	4	3	4	3	3	4
"250"	"Slovenia"	"2008"	2	4	3	4	3	4	4
"251"	"Slovenia"	"2010"	2	4	3	4	3	4	5
"252"	"Slovenia"	"2012"	2	4	3	4	3	4	5
"253"	"Slovenia"	"2014"	2	4	3	4	3	4	5
"254"	"Slovenia"	"2016"	2	4	3	4	3	4	5
"255"	"Slovenia"	"2018"	3	4	5	5	3	4	5
"256"	"Slovenia"	"2020"	2	4	5	5	3	4	5
"257"	"Spain"	"2007"	2	4	3	4	4	4	5
"258"	"Spain"	"2008"	2	4	3	4	4	4	5
"259"	"Spain"	"2010"	2	4	4	5	5	4	5
"260"	"Spain"	"2012"	2	4	4	5	5	4	5
"261"	"Spain"	"2014"	2	4	4	5	5	4	5
"262"	"Spain"	"2016"	2	4	4	5	5	4	5
"263"	"Spain"	"2018"	2	4	5	5	5	4	5
"264"	"Spain"	"2020"	4	4	5	5	5	4	5
"265"	"Sweden"	"2007"	5	4	3	4	2	4	4
"266"	"Sweden"	"2008"	5	4	3	4	2	4	4
"267"	"Sweden"	"2010"	5	4	3	4	2	4	4
"268"	"Sweden"	"2012"	2	4	3	4	2	4	4
"269"	"Sweden"	"2014"	2	4	3	4	2	4	4
"270"	"Sweden"	"2016"	2	4	5	4	2	4	4
"271"	"Sweden"	"2018"	2	5	5	4	2	4	4
"272"	"Sweden"	"2020"	4	5	5	4	2	4	4
"273"	"Switzerland"	"2007"	5	4	4	2	2	4	4
"274"	"Switzerland"	"2008"	5	4	4	2	2	4	4
"275"	"Switzerland"	"2010"	5	4	4	2	2	4	4
"276"	"Switzerland"	"2012"	5	4	4	2	2	4	4
"277"	"Switzerland"	"2014"	2	4	4	2	2	4	4
"278"	"Switzerland"	"2016"	5	4	4	2	2	4	4
"279"	"Switzerland"	"2018"	5	4	4	2	2	4	4
"280"	"Switzerland"	"2020"	2	4	4	2	2	4	4
"281"	"Türkiye"	"2007"	5	3	3	2	2	4	4
"282"	"Türkiye"	"2008"	5	3	3	4	5	4	4
"283"	"Türkiye"	"2010"	5	5	4	4	5	4	5
"284"	"Türkiye"	"2012"	5	5	5	5	5	4	5
"285"	"Türkiye"	"2014"	5	5	5	5	5	4	5
"286"	"Türkiye"	"2016"	5	5	5	5	5	4	5
"287"	"Türkiye"	"2018"	5	5	5	5	5	4	5
"288"	"Türkiye"	"2020"	5	5	5	5	5	4	5
"289"	"United Kingdom"	"2007"	5	4	4	4	5	4	5
"290"	"United Kingdom"	"2008"	5	4	4	4	5	4	5
"291"	"United Kingdom"	"2010"	5	4	4	4	5	4	5
"292"	"United Kingdom"	"2012"	5	4	4	4	5	4	5
"293"	"United Kingdom"	"2014"	5	4	4	4	5	4	5
"294"	"United Kingdom"	"2016"	5	4	5	4	5	4	5
"295"	"United Kingdom"	"2018"	5	4	5	4	5	4	5
"296"	"United Kingdom"	"2020"	5	4	5	4	5	4	5
"297"	"United States"	"2007"	2	3	2	2	2	4	3
"298"	"United States"	"2008"	2	5	2	2	2	4	3
"299"	"United States"	"2010"	2	5	4	2	2	4	3
"300"	"United States"	"2012"	5	5	4	2	2	4	3
"301"	"United States"	"2014"	5	5	4	2	2	4	3
"302"	"United States"	"2016"	5	5	4	2	2	4	3
"303"	"United States"	"2018"	5	5	4	2	2	4	3
"304"	"United States"	"2020"	5	5	5	2	2	4	3
