"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","CIV","Côte d'Ivoire","","BTSX","Both sexes","","9.4","9.40000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","COD","Democratic Republic of the Congo","","BTSX","Both sexes","","12.8","12.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","ERI","Eritrea","","BTSX","Both sexes","","7.5","7.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","SWZ","Eswatini","","BTSX","Both sexes","","9.2","9.20000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","ETH","Ethiopia","","BTSX","Both sexes","","5.1","5.10000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","GMB","Gambia","","BTSX","Both sexes","","11.1","11.10000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","GHA","Ghana","","BTSX","Both sexes","","3.5","3.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","GNB","Guinea-Bissau","","BTSX","Both sexes","","9","9.00000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","KEN","Kenya","","BTSX","Both sexes","","11.1","11.10000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","LSO","Lesotho","","BTSX","Both sexes","","24.3","24.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","LBR","Liberia","","BTSX","Both sexes","","8.2","8.20000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","MDG","Madagascar","","BTSX","Both sexes","","27.8","27.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","MWI","Malawi","","BTSX","Both sexes","","10.8","10.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","MLI","Mali","","BTSX","Both sexes","","8.3","8.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","MRT","Mauritania","","BTSX","Both sexes","","10.7","10.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","MUS","Mauritius","","BTSX","Both sexes","","20.2","20.20000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","MOZ","Mozambique","","BTSX","Both sexes","","14.3","14.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","NAM","Namibia","","BTSX","Both sexes","","15.1","15.10000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","NER","Niger","","BTSX","Both sexes","","7.4","7.40000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","NGA","Nigeria","","BTSX","Both sexes","","3.7","3.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","RWA","Rwanda","","BTSX","Both sexes","","13.7","13.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","STP","Sao Tome and Principe","","BTSX","Both sexes","","5.7","5.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","SEN","Senegal","","BTSX","Both sexes","","6.9","6.90000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","SYC","Seychelles","","BTSX","Both sexes","","20.2","20.20000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","SLE","Sierra Leone","","BTSX","Both sexes","","13.5","13.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","ZAF","South Africa","","BTSX","Both sexes","","20.3","20.30000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","TGO","Togo","","BTSX","Both sexes","","6.8","6.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","UGA","Uganda","","BTSX","Both sexes","","8.4","8.40000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","TZA","United Republic of Tanzania","","BTSX","Both sexes","","8.7","8.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","ZMB","Zambia","","BTSX","Both sexes","","14.4","14.40000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AFR","Africa","","ZWE","Zimbabwe","","BTSX","Both sexes","","11.7","11.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","ARG","Argentina","","BTSX","Both sexes","","24.5","24.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","BHS","Bahamas","","BTSX","Both sexes","","10.6","10.60000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","BRB","Barbados","","BTSX","Both sexes","","8.5","8.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","BLZ","Belize","","BTSX","Both sexes","","8.5","8.50000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","BTSX","Both sexes","","12.7","12.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","BRA","Brazil","","BTSX","Both sexes","","12.8","12.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","CAN","Canada","","BTSX","Both sexes","","13","13.00000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","CHL","Chile","","BTSX","Both sexes","","29.2","29.20000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","COL","Colombia","","BTSX","Both sexes","","8.5","8.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","CRI","Costa Rica","","BTSX","Both sexes","","8.8","8.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","CUB","Cuba","","BTSX","Both sexes","","17.9","17.90000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","DOM","Dominican Republic","","BTSX","Both sexes","","10.6","10.60000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","ECU","Ecuador","","BTSX","Both sexes","","11.3","11.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","SLV","El Salvador","","BTSX","Both sexes","","7.9","7.90000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","GTM","Guatemala","","BTSX","Both sexes","","10.9","10.90000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","GUY","Guyana","","BTSX","Both sexes","","12.1","12.10000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","HTI","Haiti","","BTSX","Both sexes","","7.7","7.70000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","JAM","Jamaica","","BTSX","Both sexes","","9.4","9.40000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","MEX","Mexico","","BTSX","Both sexes","","13.1","13.10000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","PAN","Panama","","BTSX","Both sexes","","5","5.00000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","PRY","Paraguay","","BTSX","Both sexes","","11.5","11.50000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","PER","Peru","","BTSX","Both sexes","","8.1","8.10000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","USA","United States of America","","BTSX","Both sexes","","23","23.00000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","AMR","Americas","","URY","Uruguay","","BTSX","Both sexes","","21.5","21.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","BTSX","Both sexes","","23.3","23.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","BHR","Bahrain","","BTSX","Both sexes","","14.9","14.90000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","EGY","Egypt","","BTSX","Both sexes","","24.3","24.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","BTSX","Both sexes","","13.6","13.60000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","IRQ","Iraq","","BTSX","Both sexes","","18.5","18.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","JOR","Jordan","","BTSX","Both sexes","","34.8","34.80000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","KWT","Kuwait","","BTSX","Both sexes","","17.9","17.90000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","LBN","Lebanon","","BTSX","Both sexes","","38.2","38.20000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","MAR","Morocco","","BTSX","Both sexes","","14.5","14.50000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","OMN","Oman","","BTSX","Both sexes","","8","8.00000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","PAK","Pakistan","","BTSX","Both sexes","","20.2","20.20000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","QAT","Qatar","","BTSX","Both sexes","","11.8","11.80000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","SAU","Saudi Arabia","","BTSX","Both sexes","","14.3","14.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","TUN","Tunisia","","BTSX","Both sexes","","24.6","24.60000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EMR","Eastern Mediterranean","","YEM","Yemen","","BTSX","Both sexes","","20.3","20.30000","","","","","Projected from surveys completed prior to 2020."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EUR","Europe","","ALB","Albania","","BTSX","Both sexes","","22.4","22.40000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
"M_Est_tob_curr_std","Estimate of current tobacco use prevalence (%) (age-standardized rate)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562","PUBLISHED","Published","","2020","2020","","EUR","Europe","","AND","Andorra","","BTSX","Both sexes","","31.8","31.80000","","","","","Projected from surveys completed prior to 2020. Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates on the assumption that there is little difference between the two measures in the country."
