"LOCATION,""Country"",""REG_ID"",""Region"",""IND"",""Indicator"",""ISC11"",""Education ISCED level"",""GENDER"",""Gender"",""MEAS"",""Measure"",""TIME"",""Year"",""Unit Code"",""Unit"",""PowerCode Code"",""PowerCode"",""Reference Period Code"",""Reference Period"",""Value"",""Flag Codes"",""Flags"""
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2008"",""2008"",""PC"",""Percentage"",""0"",""Units"",,,63,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2009"",""2009"",""PC"",""Percentage"",""0"",""Units"",,,62.7,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2010"",""2010"",""PC"",""Percentage"",""0"",""Units"",,,63.2,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2011"",""2011"",""PC"",""Percentage"",""0"",""Units"",,,63.2,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2012"",""2012"",""PC"",""Percentage"",""0"",""Units"",,,63.1,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2013"",""2013"",""PC"",""Percentage"",""0"",""Units"",,,62.4,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2014"",""2014"",""PC"",""Percentage"",""0"",""Units"",,,54,""B"",""Break"""
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2015"",""2015"",""PC"",""Percentage"",""0"",""Units"",,,54.1,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2016"",""2016"",""PC"",""Percentage"",""0"",""Units"",,,53.1,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2017"",""2017"",""PC"",""Percentage"",""0"",""Units"",,,52.6,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2018"",""2018"",""PC"",""Percentage"",""0"",""Units"",,,52.6,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2019"",""2019"",""PC"",""Percentage"",""0"",""Units"",,,51.8,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2020"",""2020"",""PC"",""Percentage"",""0"",""Units"",,,51.5,,"
"AUT,""Austria"",""AUT"",""Austria"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2021"",""2021"",""PC"",""Percentage"",""0"",""Units"",,,51.3,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2000"",""2000"",""PC"",""Percentage"",""0"",""Units"",,,31.5,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2001"",""2001"",""PC"",""Percentage"",""0"",""Units"",,,31.8,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2002"",""2002"",""PC"",""Percentage"",""0"",""Units"",,,32.7,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2003"",""2003"",""PC"",""Percentage"",""0"",""Units"",,,33,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2004"",""2004"",""PC"",""Percentage"",""0"",""Units"",,,33.9,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2005"",""2005"",""PC"",""Percentage"",""0"",""Units"",,,35,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2006"",""2006"",""PC"",""Percentage"",""0"",""Units"",,,35.2,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2007"",""2007"",""PC"",""Percentage"",""0"",""Units"",,,35.9,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2008"",""2008"",""PC"",""Percentage"",""0"",""Units"",,,37.3,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2009"",""2009"",""PC"",""Percentage"",""0"",""Units"",,,37.2,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2010"",""2010"",""PC"",""Percentage"",""0"",""Units"",,,35.5,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2011"",""2011"",""PC"",""Percentage"",""0"",""Units"",,,36.7,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2012"",""2012"",""PC"",""Percentage"",""0"",""Units"",,,36.3,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2013"",""2013"",""PC"",""Percentage"",""0"",""Units"",,,37.2,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2014"",""2014"",""PC"",""Percentage"",""0"",""Units"",,,36.7,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2015"",""2015"",""PC"",""Percentage"",""0"",""Units"",,,37.8,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2016"",""2016"",""PC"",""Percentage"",""0"",""Units"",,,37.6,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2017"",""2017"",""PC"",""Percentage"",""0"",""Units"",,,36.5,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2018"",""2018"",""PC"",""Percentage"",""0"",""Units"",,,37.6,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2019"",""2019"",""PC"",""Percentage"",""0"",""Units"",,,38,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2020"",""2020"",""PC"",""Percentage"",""0"",""Units"",,,37.3,,"
"BEL,""Belgium"",""BEL"",""Belgium"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2021"",""2021"",""PC"",""Percentage"",""0"",""Units"",,,36.7,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"CAN,""Canada"",""CAN"",""Canada"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2014"",""2014"",""PC"",""Percentage"",""0"",""Units"",,,36,,"
"CAN,""Canada"",""CAN"",""Canada"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2015"",""2015"",""PC"",""Percentage"",""0"",""Units"",,,35,,"
"CAN,""Canada"",""CAN"",""Canada"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2016"",""2016"",""PC"",""Percentage"",""0"",""Units"",,,35,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2000"",""2000"",""PC"",""Percentage"",""0"",""Units"",,,74.5,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2001"",""2001"",""PC"",""Percentage"",""0"",""Units"",,,74.7,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2002"",""2002"",""PC"",""Percentage"",""0"",""Units"",,,76,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2003"",""2003"",""PC"",""Percentage"",""0"",""Units"",,,76.5,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2004"",""2004"",""PC"",""Percentage"",""0"",""Units"",,,76.8,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2005"",""2005"",""PC"",""Percentage"",""0"",""Units"",,,76.9,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2006"",""2006"",""PC"",""Percentage"",""0"",""Units"",,,76.8,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2007"",""2007"",""PC"",""Percentage"",""0"",""Units"",,,76.8,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2008"",""2008"",""PC"",""Percentage"",""0"",""Units"",,,76.4,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2009"",""2009"",""PC"",""Percentage"",""0"",""Units"",,,75.9,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2010"",""2010"",""PC"",""Percentage"",""0"",""Units"",,,75.2,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2011"",""2011"",""PC"",""Percentage"",""0"",""Units"",,,74.1,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2012"",""2012"",""PC"",""Percentage"",""0"",""Units"",,,73.2,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2013"",""2013"",""PC"",""Percentage"",""0"",""Units"",,,72.4,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2014"",""2014"",""PC"",""Percentage"",""0"",""Units"",,,71.7,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2015"",""2015"",""PC"",""Percentage"",""0"",""Units"",,,71,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2016"",""2016"",""PC"",""Percentage"",""0"",""Units"",,,70.5,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2017"",""2017"",""PC"",""Percentage"",""0"",""Units"",,,69.9,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2018"",""2018"",""PC"",""Percentage"",""0"",""Units"",,,69.6,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2019"",""2019"",""PC"",""Percentage"",""0"",""Units"",,,69.5,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2020"",""2020"",""PC"",""Percentage"",""0"",""Units"",,,69.2,,"
"CZE,""Czech Republic"",""CZE"",""Czech Republic"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2021"",""2021"",""PC"",""Percentage"",""0"",""Units"",,,68,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2000"",""2000"",""PC"",""Percentage"",""0"",""Units"",,,52.4,,"
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2001"",""2001"",""PC"",""Percentage"",""0"",""Units"",,,52.3,,"
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2002"",""2002"",""PC"",""Percentage"",""0"",""Units"",,,51.5,,"
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2003"",""2003"",""PC"",""Percentage"",""0"",""Units"",,,48.7,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2004"",""2004"",""PC"",""Percentage"",""0"",""Units"",,,48.3,,"
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2005"",""2005"",""PC"",""Percentage"",""0"",""Units"",,,47.5,,"
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2006"",""2006"",""PC"",""Percentage"",""0"",""Units"",,,46.9,,"
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2007"",""2007"",""PC"",""Percentage"",""0"",""Units"",,,43.4,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2008"",""2008"",""PC"",""Percentage"",""0"",""Units"",,,42.4,""b"",""There is a break in the series when data for the latest year refer to ISCED 2011 and data for previous years refer to ISCED-97."""
"DNK,""Denmark"",""DNK"",""Denmark"",""NEAC_SHARE_EA_Y25T64"",""Share of population 25 to 64 year-olds by educational attainment"",""L3T4"",""Upper secondary and post-secondary non-tertiary education"",""T"",""Total"",""VALUE"",""Value"",""2009"",""2009"",""PC"",""Percentage"",""0"",""Units"",,,42.5,,"
